task,lookback,horizon,horizon_step,model,variant,RMSE,MAE,sMAPE
ENERGY,168,24,13,CNN,baseline,463.143505418209,282.3862122348726,67.53851747797151
ENERGY,168,24,14,CNN,baseline,471.1082491883979,289.72728560423934,67.54313710368478
ENERGY,168,24,15,CNN,baseline,477.078334431901,290.42484172911134,67.67534446471167
ENERGY,168,24,16,CNN,baseline,479.72904863487537,293.4596112219882,68.01050785316856
ENERGY,168,24,17,CNN,baseline,486.25443920663474,297.43443528770206,68.17250056986873
ENERGY,168,24,18,CNN,baseline,492.12897211663625,300.7249285193757,68.50756147613963
ENERGY,168,24,19,CNN,baseline,491.22813579153024,298.8955657677805,68.3512928008048
ENERGY,168,24,20,CNN,baseline,498.1394062543597,305.4327202972637,68.62175729226485
ENERGY,168,24,21,CNN,baseline,498.11666431823227,303.3775494338892,68.67774338824287
ENERGY,168,24,22,CNN,baseline,499.2860830612256,305.31229646055544,68.56020597851752
ENERGY,168,24,23,CNN,baseline,500.2071562228112,309.0243369929825,68.78527114709382
ENERGY,168,24,24,CNN,baseline,503.7072057152471,310.6673894990409,68.84633944687525
ENERGY,168,72,1,CNN,baseline,289.04864426352435,187.40194987281217,57.602818063964335
ENERGY,168,72,2,CNN,baseline,305.7688424672545,199.6888168545108,59.24197839772686
ENERGY,168,72,3,CNN,baseline,331.7400001561461,214.5347631367175,60.78344451195306
ENERGY,168,72,4,CNN,baseline,355.28637777805784,228.4118844748376,62.01908781682399
ENERGY,168,72,5,CNN,baseline,378.9528620114188,243.1860371560136,63.40553425241562
ENERGY,168,72,6,CNN,baseline,395.8139634839575,252.95656120501368,64.15613591729216
ENERGY,168,72,7,CNN,baseline,411.1973879728415,262.1619296855929,65.08812593299241
ENERGY,168,72,8,CNN,baseline,425.7716953723682,271.04155911611605,65.64169276350557
ENERGY,168,72,9,CNN,baseline,437.678628834436,275.67804547368155,66.29476730331042
ENERGY,168,72,10,CNN,baseline,446.2213212652664,278.81176908032575,66.76631319263294
ENERGY,168,72,11,CNN,baseline,458.5543680461356,289.83532914483527,67.04213874449802
ENERGY,168,72,12,CNN,baseline,466.592004156151,294.51523936406267,67.64461624101882
ENERGY,168,72,13,CNN,baseline,474.072608770146,296.75401975008515,67.54417753184842
ENERGY,168,72,14,CNN,baseline,482.0138073088967,302.2566381233418,67.64908691917874
ENERGY,168,72,15,CNN,baseline,488.09623457749296,307.81425198551227,68.28096525807902
ENERGY,168,72,16,CNN,baseline,491.3743952926213,310.11743209018766,68.85907341014412
ENERGY,168,72,17,CNN,baseline,496.531621509524,313.1171652236724,69.01449138957028
ENERGY,168,72,18,CNN,baseline,496.4242938755266,311.25160523710696,68.88012093774681
ENERGY,168,72,19,CNN,baseline,502.289772551377,315.8719066494458,68.97161905168038
ENERGY,168,72,20,CNN,baseline,505.122559934161,319.6284241903344,69.16488429156968
ENERGY,168,72,21,CNN,baseline,507.2630841691369,319.6538272615763,69.08930446764006
ENERGY,168,72,22,CNN,baseline,507.9555858698192,322.6449440250637,69.23878544748779
ENERGY,168,72,23,CNN,baseline,509.54209572433086,322.7270564616616,69.2962364817155
ENERGY,168,72,24,CNN,baseline,514.5325903373057,325.13241118234515,68.7385066059392
ENERGY,168,72,25,CNN,baseline,512.8251153789673,323.71180577541,69.03811800681876
ENERGY,168,72,26,CNN,baseline,520.411607973541,329.3241162419562,69.68283573654355
ENERGY,168,72,27,CNN,baseline,520.4119047240611,330.8074251389245,69.73137171109629
ENERGY,168,72,28,CNN,baseline,525.497226853813,334.2673519431742,69.84063926818006
ENERGY,168,72,29,CNN,baseline,527.699088326889,335.1967980823157,69.98856574864507
ENERGY,168,72,30,CNN,baseline,525.3203477211651,332.65809414937087,69.75917247866566
ENERGY,168,72,31,CNN,baseline,531.0557164464769,338.33967970923703,69.98192222136504
ENERGY,168,72,32,CNN,baseline,529.6145063474885,335.26477485563373,70.03387589641963
ENERGY,168,72,33,CNN,baseline,527.5554607407128,334.3468521212701,70.15886366975475
ENERGY,168,72,34,CNN,baseline,530.6597936275434,337.4306417885138,70.07800886125841
ENERGY,168,72,35,CNN,baseline,528.2220752263031,334.2650498180819,70.07335123879948
ENERGY,168,72,36,CNN,baseline,527.8207557638382,333.7038001343914,69.99016406891036
ENERGY,168,72,37,CNN,baseline,525.4942867309097,331.5011778751104,69.91521152437083
ENERGY,168,72,38,CNN,baseline,526.6083304232408,331.53101517814173,69.95787346405132
ENERGY,168,72,39,CNN,baseline,527.5195159888432,332.12342725447854,69.95476173576859
ENERGY,168,72,40,CNN,baseline,534.7731356895497,339.13960754661457,70.20000254987545
ENERGY,168,72,41,CNN,baseline,528.5149582377384,332.80025115400747,70.296268133788
ENERGY,168,72,42,CNN,baseline,532.317263680846,334.3071695227441,69.94886463528958
ENERGY,168,72,43,CNN,baseline,536.5334200342111,339.5879351123868,70.10260195671096
ENERGY,168,72,44,CNN,baseline,535.147835327462,339.6608010184236,70.30399824770882
ENERGY,168,72,45,CNN,baseline,538.6369701915396,343.99987532582406,70.4089862116485
ENERGY,168,72,46,CNN,baseline,536.8097992404043,343.329853091959,70.31319822022463
ENERGY,168,72,47,CNN,baseline,534.2491630252009,340.80760707965715,70.18734832200366
ENERGY,168,72,48,CNN,baseline,528.7431133321038,335.2601885755166,70.04077827954468
ENERGY,168,72,49,CNN,baseline,528.087904111964,335.5741156820516,70.4724632223406
ENERGY,168,72,50,CNN,baseline,529.922103791439,337.7896408462715,70.48930957692512
ENERGY,168,72,51,CNN,baseline,532.7013431156928,339.47835867304417,70.46425108806662
ENERGY,168,72,52,CNN,baseline,531.8488561134898,339.1952411083658,70.46673702670228
